station,ID,l,a
湘湖,0,30.16751647,120.234275
滨康路,1,30.18371982,120.2318932
西兴,2,30.18731351,120.2207406
滨和路,3,30.19957278,120.2175863
江陵路,4,30.20900731,120.2166154
近江,5,30.2310115,120.1976655
浦沿,67,30.15977094,120.1533125
杨家墩,68,30.16777619,120.1489566
中医药大学,69,30.17569732,120.1464139
联庄,70,30.18654377,120.1520278
水澄桥,71,30.20413485,120.1521029
复兴路,72,30.21018018,120.163454
南星桥,73,30.2177317,120.1782276
甬江路,74,30.22401259,120.190386
下沙江滨,27,30.28782321,120.3817751
云水,26,30.30273773,120.3818207
文海南路,25,30.31111573,120.3761478
文泽路,24,30.30996258,120.3502484
高沙路,23,30.30937905,120.3352334
金沙湖,22,30.30929106,120.3255238
下沙西,21,30.30985143,120.3124936
客运中心,20,30.31101384,120.2788372
临平,33,30.40684909,120.3041332
南苑,32,30.39491183,120.3023307
余杭高铁站,31,30.3820013,120.2978809
翁梅,30,30.36489569,120.2951075
乔司,29,30.34690751,120.2854194
乔司南,28,30.3274297,120.2908374
良渚,66,30.3591191,120.0423254
杜浦村,65,30.35920704,120.0565089
白洋,64,30.35119886,120.0730662
金家渡,63,30.3390974,120.083956
墩祥街,62,30.3318747,120.087518
三墩,61,30.31999312,120.0930835
蝦龙圩,60,30.30955504,120.0964041
三坝,59,30.29956974,120.0978901
文新,58,30.28925918,120.0982012
丰潭路,57,30.28185213,120.1095898
古翠路,56,30.28221347,120.117835
学院路,55,30.28270451,120.1299559
下宁桥,54,30.28316775,120.139813
沈塘桥,53,30.28024002,120.1501609
武林门,52,30.26944559,120.1554288
钱江路,46,30.25597637,120.2134584
钱江世纪城,45,30.24048008,120.2441965
盈丰路,44,30.23699957,120.2523692
飞虹路,43,30.23096515,120.2632321
振宁路,42,30.21810717,120.2692135
建设三路,41,30.20456601,120.268323
建设一路,40,30.19421301,120.2665581
人民广场,39,30.17962518,120.2669497
杭发厂,38,30.17070727,120.2672555
人民路,37,30.15907056,120.2676792
潘水,36,30.14996988,120.2675478
曹家桥,35,30.1344569,120.2677302
朝阳,34,30.12216168,120.2683042
九堡,19,30.30774887,120.2663435
九和路,18,30.30579909,120.2529539
七堡,17,30.30019501,120.2412112
彭埠,16,30.2939653,120.2234872
火车东站,15,30.29073681,120.2126779
新风,80,30.28699404,120.2076595
新塘,79,30.2761077,120.2072866
景芳,78,30.26503946,120.2077694
江锦路,77,30.24962337,120.2153547
市民中心,76,30.24476219,120.2116077
城星路,75,30.23953002,120.2067609
婺江路,6,30.23700883,120.19107
城站,7,30.24450731,120.1810546
定安路,8,30.24594855,120.1680057
龙翔桥,9,30.25469283,120.1641728
庆春广场,47,30.25760742,120.2048968
庆菱路,48,30.25752401,120.193256
建国北路,49,30.2644464,120.1815911
中河北路,50,30.26459929,120.1724233
武林广场,11,30.27237827,120.1642747
西湖文化广场,12,30.27936447,120.1658089
打铁关,13,30.28514113,120.1768382
闸弄口,14,30.28438606,120.1923038
凤起路,10,30.26165248,120.1637034
凤起路,51,30.2636263,120.1629041
